address	amountInJRT
0xf80f2a04da97367144af059a890a659a74c8531f	0,001211867915
0xca0d53481c3ff1ad3bcba55bb847298b34342653	0,004897426621
0x4677c06757a2059c7b750fd5b59c2e65bf1851b3	0,02472039234
0x693ec4afef930cab11480f788b4db40232ae2974	0,04897426821
0xf073ade773fa03a559c514d6629ebdfff03dddbd	0,1469228159
0xa4e464af6fa4a346f091e138d9e4e55d86ba2d33	0,5854691751
0x2dd517e805cacada387e1fdb9b8c31b830984e07	1,200843326
0x66a2e7ca9320685e95745128e69b74e501203ecb	1,429207993
0xd410f60f10892a6b5513701deb7cf1d93b1ecdc9	1,703562981
0x058bdde93176f754be2c4361a99ed20869e106bc	3,22905808
0x60c8eed11cccab1e6d75a825dd9f36d85d855c53	3,286116025
0x51b6a1c549cd27beac891d2d59396a036236613e	3,969484938
0x02dbd1aa375c7d00ecf1de198158ffa332110d47	3,994588841
0xba96c8f125572b414802debb201179839fd5e222	4,018727566
0x65fc262afb8ee474514d0b872f6ae3c8556050d1	4,090612709
0xd624119ef0a1c4d5ceac8a6c1a21560fc7354e87	4,920394327
0x5e5ffef1103717f17a9a155d0c7646ec5e16551e	5,19127205
0x5d4f707acd25a8582b67f10633c69f56bceea2c8	5,289220175
0x271dcdf064898d3cc7f19de5f9a3a4177e492abd	5,33821925
0xe33a7622a8ebc08771762af170f259d7920d4a7b	5,455106732
0xb63bb45b2ef614ce087dc01c98013d87fd757896	5,987002425
0xc46b19ffa9caa62f7931f8fceb273090614aa67d	6,46098574
0x6954796e7499c0dcdd9c908f73eaff20acfb7b81	6,821713207
0xd2d705399d2574357477591ecf0e9b13ce60c8cd	6,852231767
0xfbf8ec2dd4cce262c27af27d5e4ef23a631e77bd	7,925957956
0x59c3e5644cef1cd9b56c55c9c65a07ad9b492bbc	9,810963502
0x615fef37eaa29c8642baaa8336ceee4683fd272e	9,941777015
0xeb36fccca0167352229db704b62683b6d725fe99	14,69233443
0xde88380f85fa1531362c6b85e490f0b383c72d9e	14,93077631
0x8e3e3320bd3f8c48b334724a037688d9df2e7682	16,4949417
0x3f603a18bed7cc5ceefdc83ff1ce0cf5b3764e2e	20,65302056
0x2051cf81501afc3620834e8acffe9616334efcf7	22,47935184
0x386ee9dc427598e3f8f03203c2aca0a342f3ea96	24,48795278
0x48e9760e7f684e0c70b2b880181c124b9cd4864f	24,53167736
0xbc67e6c2de6e9df08c59fc7ec16d2cc81449c3be	26,34162802
0xd3718c99386a6f4f1456367647e4653828ff27ae	29,22582317
0xd7e055635ec1f37f87b51d24693818017ffeb422	29,26975269
0x46426750dc069953b3d78979fd5743c28d8f7596	29,4344097
0xfdcfc1188005779ad1c70a0560fd5bbadaffebf5	30,35940087
0xb2a5e135892b92d8554dab9adc5291ee65a9957b	45,15602851
0x7ee567d2ac5dca4c422281deb1e2334a805ba6c1	48,97426335
0xe092301f69a210b62da8f357ef4f74db8944d632	49,20818931
0xdae2926d8e50f7ba90a500748608e62b3ff0b996	50,93334919
0x97e7f9f6987d3b06e702642459f7c4097914ea87	57,18147638
0x1fa02e36cb086f2a89adba718c65db7085d16756	57,57887086
0x4b1c78d7a399e4e54f8ffcb510f9aa47da8aee6c	58,76910669
0x4d864b0ddec2a861506c8baa676e2d99a4c30a84	66,21994383
0xe8ff6addf4babc84ced06116cf4c9592b6e7f04e	73,67471565
0xb22ae2b6938ea3fc0bf0340f0bb21bbf40cd446d	80,76465831
0x96421dfeaafbf6531396d98ce1821cceb27b0ae8	82,32547486
0xbb2a93d252856472dd561ec24da23298fc56381c	83,25706847
0x0167767e7ffabd6e9fe1f958535bf296622d4b21	89,64714141
0x2348fb97d600cfbc0882cc95a5ad155dc8a42717	95,57087281
0x3141c333ba95cd0f9dfcba77add27db0639fdb33	97,54291428
0x87061c2ee6981dcd3a5a0ba15284aa53de0d7110	97,9485893
0x9a26aac2b6fec5dd0463fd5c088a05049b835edb	97,9488614
0xd0494dd775764877021a1cf799f7106b764d7526	98,09313661
0x85162b355eee83ed8d29c3cada25b80ca86e80d1	120,248938
0x5eda2dc136986fc88d4df5696bc464f96a20268a	159,3914869
0xc53a1b7da00e02ef475283f303247a314c636175	169,964192
0xfb12ecc63db1e56b4ecf420b729058d9971a5e37	177,0712686
0xd72f80c240b475ccfab3cc5cb44d59f789ebeb68	209,0786122
0xb08b586a0d63ca9287f238ced70148176f90ab76	214,1575958
0x60a1827cc0b8b7c112b39f2e8a4d01d10e51c3fc	253,9719289
0x8ebed0ff2b0232b0aedbfe6e9c0f72ac72577869	258,8081495
0xc9f93136d6d2fa435f6ad724bc53670eda14ece4	269,3850495
0xd797f5acf55291b2003827bd57b53ad11bfa96bf	280,8516321
0xf034f41cbe726666d62fddb7293c62fecaa78eee	280,9210081
0x626924b59a246efdb551e56ab61c547485ce38fc	281,7132754
0xc6a82e72156a11a2e1634633af5e4517b451f0d9	293,845524
0x1ad5f28a4775f8292eedd3288ff760dd9e825d05	318,3329096
0x562821c81bbbffa42443064917ee4d90036fba7c	430,5495582
0xd0ccf7d3da82bd1bde58cfcaf8fdcc53f1435140	448,124506
0x45c56e4fc87bd77a79024abf2f70660cf1d8dedb	484,8451357
0x5aeea2ee3d9a6d71b2f2ec9ea0e9a489b3095926	834,8305774
0x30e5fa51dc65d16c83ec2d66b760e07afae7ce39	1159,719021
0x87fc1313880d579039ac48db8b25428ed5f33c4a	1328,761854
0x35c4346f87bf8479be670b99e19120d978a1c19f	1504,57917
0xc8e99dd497ae1fc981c1dd48f49fb804fbfcb99d	1683,838028
0xd50f6325b568a978a0d95106f35e368fac475332	3229,442298
0x7a65dc1e296dc482a6484ea99a77e1a641c75fb3	4371,506069
0xb494096548aa049c066289a083204e923cbf4413	5034,692886
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d	6366,195107
0x6e68fa206cafdbe92550b39088114461e2493446	7860,11774
0x4694b949df0417b1202a092d5d55ecb0993afb24	8378,631507